Altium Designer Pick and Place Locations
E:\JD-Signal\2.Hardware\JD-Signal-PRJ\Project Outputs for JD-Singal\Pick Place for JD-Signal-V1.2.txt

========================================================================================================================
File Design Information:

Date:       03/02/23
Time:       12:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint           Center-X(mil) Center-Y(mil) Rotation 
U6         OPA548T-1           TopLayer TO-220-7_-_90*45    7266.017      2362.205      270      
DE3        "DEBUG PAD"         TopLayer DEBUG_B             7055.000      3730.000      270      
U2         STM32H750VBT6       TopLayer LQFP100-14*14       2559.061      1181.102      0        
R79        1K                  TopLayer R0603_M             6850.391      1955.000      0        
R68        470R                TopLayer R0603_M             6692.917      1745.000      180      
Q3         S8050               TopLayer SOT23               6850.394      1842.520      0        
Q2         AO3400A             TopLayer SOT23               6692.913      2119.055      0        
Q1         S8550               TopLayer SOT23               6692.913      1842.520      0        
LED15      RED                 TopLayer LED0603_R           7084.997      2039.998      0        
RLA5       "G6B-2114P-US 12DC" TopLayer RELAY_G6B-2114P_OMR 6779.134      3657.087      180      
R80        4.7K                TopLayer R0603_M             6850.391      1745.000      0        
R78        22K                 TopLayer R0603_M             6692.910      2020.000      0        
R77        470R                TopLayer R0603_M             6692.910      1680.000      0        
R74        1K                  TopLayer R0603_M             6372.323      3681.099      90       
R35        1K                  TopLayer R0603_M             6692.917      1955.000      180      
LED16      BLUE                TopLayer LED0603_R           6372.324      3838.579      90       
J13        236-402             TopLayer CONN_236-402_WAG    5314.961      295.276       0        
J12        236-402             TopLayer CONN_236-402_WAG    5826.772      295.276       0        
J11        236-402             TopLayer CONN_236-402_WAG    6791.339      4389.764      0        
U7         AD620AN             TopLayer SOIC-8              5078.740      1889.764      270      
R72        0R                  TopLayer AXIAL0.5-1/2W       5944.606      2773.386      90       
R75        0R                  TopLayer AXIAL0.5-1/2W       5703.926      1153.544      90       
R73        0R                  TopLayer AXIAL0.5-1/2W       6771.682      1163.544      90       
R76        0R                  TopLayer AXIAL0.5-1/2W       5326.772      1889.764      90       
R33        0.01R               TopLayer HS25                984.252       3592.528      90       
R31        0.01R               TopLayer HS25                2125.984      3592.528      90       
R30        0.01R               TopLayer HS25                3267.716      3592.528      90       
U13        AD620AN             TopLayer SOIC-8              6547.272      1163.544      270      
U12        AD620AN             TopLayer SOIC-8              5700.000      2773.386      270      
U5         AD620AN             TopLayer SOIC-8              5467.705      1232.284      270      
J1         TF_Card             TopLayer Micro_SD            406.043       753.937       270      
TP2        TEST                TopLayer TEST_1.6            6692.913      2960.000      0        
